Variable,Design,Unit,Note,,
AE_A,10,-,aspect ratio,,-
AE_CD_cruise,,-,,,
AE_CD_LDG,,,,,
AE_CD_TO,,-,,,
AE_CD0,0.027,-,,,
AE_CL_clean,,-,,,
AE_CL_cruise,,-,,,
AE_CL_LDG,[1.57024793],-,,,
AE_CL_max_clean,[1.3],-,,,
AE_CL_max_LDG,[1.9],-,,,
AE_CL_max_TO,[1.3],-,,,
AE_CL_TO,[1.07438017],-,,,
AE_Cla,4.2,1/rad,,,
AE_e,0.7,-,oswald factor,,
AE_LD,14.27,-,,,
AE_w_dihedral,[1],deg,,,
AE_w_sweep,-0.006,deg,,,
AE_WS,600,N/m2,,,
AV_AC,18.3716362,fh/day,,,
Av_fleet,84.88754877,%,,,
Av_ops,,,,,
b_container,2.4,m,,,
b_fus,,m,,,
b_h,,m,,,
b_w,[12.30004713],m,,,
c_w_MAC,1.155,m,,,
c_w_root,[1.75714959],m,,,
c_w_tip,[0.70285984],m,,,
CST_AC_prod,20000,0,,,
CST_DM,323273.0213,€,,,
CST_PL_per_kg,645.08359,€/kg,,,
H_ceiling,5486.4,0,,,
h_container,2.39,m,,,
H_cruise,3048.0,m,,,
H_drop_min,15,0,,,
h_fus,1.1,m,,,
H_ground,,m,,,
HR_climb,2.989,m/s,,,
HR_descent,,,,,
ISA_g0,9.80665,m/s2,,,
ISA_LR,,,,,
ISA_p0,101325,Pa,,,
ISA_R_air,287.05,J/kgK,,,
ISA_rho0,1.225,kg/m3,,,
ISA_T0,288.15,K,,,
l_boom,,m,,,
l_container,12.03,m,,,
l_fus,9.237,m,,,
l_h,3.5,m,,,
l_LND,750,m,,,
l_TO,[0.70285984],m,,,
M_boom,,kg,,,
M_engine,,kg,,,
M_ff_res,0.1,-,,,
M_GNC,,,,,
M_package,23,0,,,
M_PL,276,0,,,
M_PL_per_package,20,kg,,,
M_PRO,,,,,
M_PWR,,,,,
M_STR,,,,,
MR_PL,24000,0,,,
N_AC_prod,,,,,
N_drops,,,,,
n_max,,,,,
n_min,0.5,0,,,
N_package,12,0,,,
N_package_per_drop,6,#,,,
N_sortie_per_day,2.701614622,#/day,,,
n_ult,,g0,,,
P_cp,,-,,,
P_cruise,49.391,hp,,,
P_eta_p,0.82,-,,,
P_LDG,,,,,
P_max,66,hp,,,
P_ps_cruise,,,,,
P_SFC,330,g/kWh,,,
P_TO,62.0,kW,,,
R_drop,300,0,,,
R_ferry,1200,0,,,
R_op,600,0,,,
S_h,2,m2,,,
S_w,[15.12911593],m2,,,
SC_Clp,-0.47,0,,,
SC_Cma,-1.86,0,,,
SC_Cmd,-1.28,0,,,
SC_Cnr,-0.099,0,,,
SC_x_OEW_p,,,,,
T_AC_lifetime,10000,h,,,
T_endurance,10,0,,,
T_MTBM,100,h,,,
T_MTBO,1500,h,,,
T_sortie,6.800243105,fh,,,
T_TFD,74,h,,,
V_climb,36.011,m/s,,,
V_crosswind,,m/s,,,
V_cruise,60.097,m/s,,,
V_descent,,m/s,,,
V_dive,84.132,m/s,,,
V_drop,25.722,m/s,,,
V_gust_speed,12.86114083,m/s,,,
V_gust_spread,10.8033583,m/s,,,
V_LND,,m/s,,,
V_stall,,m/s,,,
V_TO,,m/s,,,
W_fuel,,kg,,,
W_MTOW,,kg,,,
W_OEW,,kg,,,
W_PL,,kg,,,
W_TO,[871.78903012],kg,,,
W10W9,0.993,-,,,
W1WTO,0.995,-,,,
W2W1,0.997,-,,,
W3W2,0.998,-,,,
W4W3,0.992,-,,,
WcruiseW,,-,,,
WfW10,0.993,-,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
,0,0,,,
