;DET_CON_2_braced
A;10
BHP_cruise;76.3436
CD0;0.0273
CL_LDG;1.5702
CL_TO;1.2397
CL_max_TO;1.5
CL_max_clean;1.5
CL_max_land;1.9
CLa;4.2
Drag_increase;1.0126
LDG_dist;750
L_D;14.1804
Lambda;-0.0065
MAC_length;1.0161
MGC;1.0822
M_res;0.1
Mff;0.9254
N_e;1
R;500000
R_gas;287.05
S_G;19.77
Sw;11.7113
Sw_wetted;23.4226
T0;288.15
TOP_req;250
V_A;47.9382
V_B;45.0
V_D;90.7328
V_climb;36.0111
V_cruise;60.4885
V_s_min;22.8537
W10W9;0.993
W1W_TO;0.995
W2W1;0.997
W3W2;0.998
W4W3;0.992
WP;0.1215
WS;607.8751
W_F;59.8091
W_OE;429.1354
W_PL;240
W_TO;728.9445
W_boom;20
W_e;62.6
W_eq;58.075
W_fus;95.9102
W_n;11.1013
W_pg;84.7333
W_sc;27.2948
W_t;17.0451
W_uc;59.3859
W_w;55.5897
WfinalW10;0.993
X_LEMAC;2.276
X_cg_aft;0.5335
X_cg_full;0.4115
X_cg_fwd;0.1704
X_cg_range;0.363
b;10.8219
boom;True
bot_clearance;0.1
braced_wing;True
c_p;0.0
climb_rate;2.9889
cos_lambda_c04;1
cruise_frac;0.8348
d_eff;1.241
d_engine_boxes;0.4
dihedral;1
e;0.7
engine_cg;0.327
engine_fairing;0.2
engine_length;0.6651
engine_pos;tractor
eta_p;0.82
g0;9.8066
h_TO;0
h_cruise;3048.0
h_in;0.9
h_out;1.1
kq;0.95
l_f;5.4651
l_f_boom;2
l_n;0.8651
l_t;3.5
l_tc;0.8
lambda_co2;-0.0428
lambda_co4;0.0
lin_par1;0.5249
lin_par2;42.049
main_gear_type;fixed
mass_penalty_struts;7
n_boxes;12
n_boxes_abreast;2
n_drops;1
n_rows;6.0
n_ult;6.6
name;DET_CON_2_braced
nose_gear_type;fixed
pos_main_carriage;fuselage
power;95.8347
power_setting;0.9
prop_eff;0.82
rho0;1.225
rho_TO;1.225
rho_cruise;0.9046
rootchord;1.546
s_tail;2
side_clearance;0.2
sigma_TO;1.0
sigma_cruise;0.7385
structural_thickness;0.2
t_c;0.12
taper;0.4
tipchord;0.6184
top_clearance;0.2
type;utility
w_in;1.2
w_out;1.4
x_lemac;0.2871
xc_OEW_p;0.25
y_mac;2.3182
