Variable,Value,Unit,Notes
REQ_V_tailwind,15.433369,m/s,
REQ_V_gust_spread,10.8033583,m/s,
REQ_V_gust_speed,12.86114083,m/s,
REQ_V_drop,25.72228167,m/s,
REQ_V_croswind,15.433369,m/s,
REQ_T_TFD,64.8,h,
REQ_T_endurance,10,h,
REQ_STR_Ncycles,,#,
REQ_STR_eigenfreq,,Hz,
REQ_SC_Cnr,-0.099,-,
REQ_SC_Cmd,-1.28,-,
REQ_SC_Cma,-1.86,-,
REQ_SC_Clp,-0.47,-,
REQ_R_visibility,100,m,
REQ_R_op,550,km,
REQ_R_ferry,1100,km,
REQ_R_drop,275,km,
REQ_R_comm,250,km,
REQ_PWR_V,,V,
REQ_PWR_P,,W,
REQ_PWR_E,,kWh,
REQ_P_SP,45,kW/L,
REQ_P_SFC,316.25,g/kWh,
REQ_P_max,55,kW,
REQ_OPS_P_sortie,,%,
REQ_OPS_P_landing,,%,
REQ_OPS_dropzone_size,25,m,
REQ_N_sortie_per_day,3,#,
REQ_N_package,12,#,
REQ_N_OPS_concurrent,2,#,
REQ_MR_PL,22000,kg/day,
REQ_MR_PL,22000,kg/day,
REQ_M_PL,276,kg,
REQ_M_PL,276,kg,
REQ_M_package,23,kg,
REQ_l_runway,750,m,
REQ_l_container,12.192,m,
REQ_ISA_rho_min,0.5,kg/m3,
REQ_HR_climb,2.54000508,m/s,
REQ_H_drop_min,15,m,
REQ_H_ceiling,5486.4,m,
REQ_GNC_pos_acc,,m,
REQ_GNC_fly_acc,,m,
REQ_CST_PL_per_kg,0.96,euro/kg,
REQ_CST_AC_prod,21250,euro,
REQ_COM_R,250,km,
REQ_COM_LB,,dB,
REQ_Av_op,100,%,
ISA_p0,101325,Pa,
ISA_rho0,1.225,kg/m3,
ISA_T0,288.15,K,
ISA_R_air,287.05,J/kgK,
ISA _LR,-0.0065,K/m,
PHYS_g0,9.80665,m/s2,
PHYS_rho_fuel,0.82,kg/L,
N_AC_prod,500,#,
N_package_per_drop,6,#,
T_AC_lifetime,10000,h,
T_MTBM,100,h,
T_MTBO,1500,h,
H_ground,0,m,
M_PL_per_package,20,kg,
b_container,2.4,m,
h_container,2.39,m,
l_container,12.03,m,
