Cd,T1_Re4.678_M0.18_N9.0, , 
  0.006373494,   -0.07602976, , 
  0.006288741,   -0.02339811, , 
  0.006203887,    0.03011025, , 
  0.006124912,    0.08349506, , 
  0.006086575,     0.1361221, , 
  0.006012873,     0.1901643, , 
  0.005991577,     0.2429604, , 
  0.005904137,     0.2968387, , 
  0.005939064,     0.3500043, , 
  0.005917545,     0.4042269, , 
  0.005952296,     0.4567163, , 
  0.005915099,     0.5105443, , 
  0.005972393,     0.5629185, , 
  0.005955676,     0.6163373, , 
  0.006058784,     0.6656699, , 
  0.005974547,     0.7148591, , 
  0.005946009,     0.7624788, , 
  0.005844719,     0.8104813, , 
   0.00592422,     0.8544741, , 
  0.005752551,     0.9085447, , 
   0.00630194,      1.030112, , 
  0.006737352,      1.095126, , 
  0.007518085,      1.162938, , 
  0.008126694,      1.209372, , 
  0.008585958,      1.233879, , 
  0.009078423,      1.258429, , 
  0.009514206,      1.292361, , 
  0.009993508,      1.328159, , 
   0.01047594,      1.365806, , 
    0.0111159,      1.400883, , 
   0.01165592,      1.440026, , 
   0.01255298,      1.471265, , 
   0.01363967,      1.499312, , 
   0.01494453,      1.524336, , 
   0.01633611,      1.550191, , 
   0.01783089,      1.575617, , 
   0.01936208,      1.602021, , 
   0.02141558,      1.622184, , 
   0.02338374,      1.646339, , 
   0.02545045,      1.670847, , 
    0.0279345,      1.690119, , 
   0.03118353,      1.701618, , 
   0.03519968,      1.707584, , 
   0.03949897,      1.713268, , 
   0.04358126,      1.723202, , 
   0.04791022,      1.731448, , 
    0.0525816,      1.735431, , 
   0.05809815,      1.734361, , 
   0.06411414,      1.730956, , 
   0.07009269,      1.729138, , 
   0.07637718,      1.725003, , 
   0.08219924,      1.724077, , 
   0.08962387,      1.710391, , 
   0.09746573,      1.692136, , 
    0.1055827,       1.67504, , 

